Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality
3556,4,3,1968,4.961541055292564,1,10
3640,2,2,2006,1.8219915777847584,0,2
3652,2,1,1968,0.9244734183096964,2,7
2535,1,2,2017,0.774532143524277,2,5
1451,5,3,1972,1.940122924530764,1,8
1475,2,3,2014,3.790924338664833,1,5
1209,5,3,2011,3.865273584854323,2,2
4968,4,3,1994,0.8404749675684988,1,6
3874,3,2,1990,1.5079214563928651,2,2
2517,5,1,1987,4.730824360634371,2,6
4617,5,1,2005,4.3578900606237845,0,4
2862,1,2,1968,4.767131920055357,0,2
3297,1,3,2004,2.544814195159788,1,9
3683,4,3,1989,2.362223593943581,0,5
3324,1,1,2014,0.688934430093147,2,8
697,2,3,2015,2.327053107677498,1,7
2985,3,2,2006,4.620525045177424,2,5
3734,3,2,2005,0.6123479995402572,0,1
2704,3,2,1950,1.1829893443299593,0,2
3599,1,1,1981,2.061331968805513,1,8
1166,5,2,2008,0.9111834718718416,1,10
3461,5,3,2009,2.5380998162042485,2,8
4725,4,2,1953,3.6562247850186056,2,2
2420,5,3,1973,2.8837128474876543,2,10
1414,5,1,1996,3.6519430962042674,2,9
3231,1,1,2017,3.9843620732506784,1,10
2643,3,3,1966,0.7164153968541594,0,9
4213,3,2,1955,2.059514419174464,1,9
2431,3,3,1987,1.054546590723462,1,5
1960,4,1,1972,0.6616858198368785,1,3
3945,2,2,1971,4.859035725084607,0,8
2334,5,1,1966,2.3511855713566523,2,7
4597,3,2,2016,3.680770351012435,0,9
4263,2,3,1953,4.361541774129966,1,4
3897,3,2,1996,3.677713259535744,0,10
845,1,1,2001,3.5278121006984517,0,6
1266,2,2,1959,1.931470011065624,0,10
4017,5,3,2016,4.760402158281664,0,1
3800,5,2,1995,4.889628627413098,1,1
4564,2,2,1990,4.084288338756688,1,4
3921,2,3,2005,3.790208050047128,1,3
3537,4,1,2018,1.9944940248865608,1,1
3401,5,1,2013,1.0149418337556135,2,2
2827,3,1,1977,3.213677997739775,2,4
1656,1,3,1976,4.608189521486104,2,10
1173,3,1,1973,3.556396180405262,1,6
1480,1,1,1980,1.877231585852546,1,7
3068,3,1,1986,2.0759134599082865,0,8
1228,4,2,1959,3.0040529262145537,2,6
1581,1,2,1994,2.812328305594691,0,4
594,2,2,2022,1.0104836769676253,1,9
4521,5,3,2008,4.5621747970041024,2,2
3767,5,3,1981,1.5203353298312503,2,4
2658,1,3,1955,3.759046464253772,1,3
4932,2,1,1972,4.479598177050891,1,2
2070,4,2,1978,3.4537363672314525,1,8
3212,4,1,1975,1.7552213423306453,1,9
4686,1,1,1968,1.7286827869751304,0,4
1978,4,2,1999,3.8438669283412095,1,7
4481,2,2,2003,3.9810744577882415,2,7
2979,4,2,1993,2.1702628220878912,0,8
1346,4,2,2018,1.6672478033443832,1,8
4010,1,3,1980,3.534164789029246,1,8
2556,4,1,1983,4.771403119314011,2,8
2310,5,1,2011,0.7704338467017657,1,3
2656,5,2,2008,2.490135244338016,1,7
617,1,1,1982,2.3472310732724955,0,5
4175,3,1,1972,2.633739333223939,1,9
3371,4,2,2000,1.5803183321940493,0,1
3274,5,3,2004,4.012502120992462,2,7
725,2,1,1980,1.608287084647392,2,6
2622,1,3,1971,3.4020630738156017,0,4
3787,1,1,1952,2.482580876055383,1,6
4298,5,2,1984,2.2065194173120206,2,3
4800,1,1,1974,4.582620249603826,2,1
732,3,3,1953,3.044389854234841,1,4
1069,5,1,1957,0.8366954233773787,1,5
1641,3,2,1996,0.9046231018686604,1,3
1492,4,1,2014,2.4333028875357985,1,2
2548,5,3,1950,1.322025729078507,2,7
4723,5,2,1950,1.9309214810315072,0,7
1004,4,1,1988,2.480261209292294,2,5
4992,4,2,1960,4.25779675454759,1,10
2081,1,1,1966,3.866723718744585,0,5
2363,1,3,2008,3.2844743466845223,0,6
509,5,3,1957,1.4386476548347282,1,1
4462,4,2,2016,3.2075697380823325,1,4
3476,5,2,1950,1.1229597199822745,2,9
2387,1,2,1991,1.9246404195889304,2,1
4678,5,3,1986,3.045596774634526,0,1
4841,2,1,1993,2.0916350896133027,0,1
988,4,2,1986,3.542564289147306,2,6
4638,4,3,2000,1.4903990459212395,1,3
3116,4,3,2001,1.830445437256184,1,3
4922,4,1,2018,4.23375289844731,2,2
3160,1,3,1976,1.2183120564447525,0,6
3279,5,3,1975,4.025750363803655,0,8
4390,1,1,1960,4.19269440954464,2,5
2498,3,1,2013,1.6880195748175963,1,3
3530,4,1,2003,1.074985937554957,1,6
724,2,2,1982,3.319056588546172,0,5
3569,3,3,1965,2.6405951810493145,2,8
1223,2,3,2017,0.7275163458179252,2,9
701,5,1,2009,4.160455170459189,1,9
3398,1,3,1983,1.2607780029787232,2,8
2253,3,2,2012,3.95657680271397,1,4
1198,1,3,2002,4.673098312638337,2,1
2430,2,1,1990,0.5616434768401155,2,10
1213,1,2,2004,1.29736625455036,2,4
3038,5,1,1967,2.854458747368937,0,3
1853,2,3,2020,3.022609140504719,2,8
4658,1,3,1987,4.544545503818065,2,6
3239,1,1,1955,2.0103047284006026,1,2
4144,3,2,1950,1.4684201587993675,2,3
3951,4,2,1971,2.714245202220803,2,4
1399,2,2,2003,1.6805433505142555,0,3
4072,1,1,2004,4.524819748918283,0,5
4031,4,2,2007,4.279191584915697,0,4
3646,1,1,1994,3.980987338391993,0,9
3986,3,1,2008,0.5226194867441141,2,5
1691,4,3,2011,1.751581199689756,2,2
4244,2,3,1973,3.622125006353353,0,1
4514,4,3,1993,1.2470982063928735,1,3
1012,2,2,1983,4.564841064690698,0,9
3245,5,2,1950,1.5182386286746992,2,10
505,5,3,1954,3.881538250067046,0,3
4384,3,2,2017,2.9661456049890806,2,7
2628,4,2,1987,2.4985186092334954,0,4
1639,2,2,2008,2.281827149364222,1,9
974,2,2,1986,2.336535755716654,2,1
3193,2,1,1969,2.879259885942961,1,2
1232,4,3,1964,2.028966090344797,2,9
2927,5,2,1977,2.994518634531552,0,4
3311,5,2,1975,0.52405772384464,0,3
4702,2,1,1964,2.963621704380434,2,9
4685,1,1,1956,4.70827439026922,2,6
1752,2,1,1979,2.77078561073463,1,7
2949,2,1,1997,2.4546267416354794,0,7
3761,5,3,1973,4.929055246554952,2,8
4798,5,1,1997,3.3450716789053745,2,1
1376,5,1,1992,1.8707106009838568,1,6
2827,2,2,2013,4.512698893412357,2,3
4354,2,2,2017,1.768635693071281,2,5
2164,2,2,2005,2.3726541543827304,1,10
4243,2,1,2002,4.498088494653143,2,7
891,2,2,2002,1.4325903489599523,1,9
3195,1,1,1962,3.913258464123758,2,1
3801,2,3,1955,2.4604015570542943,1,1
904,3,3,1957,1.2123675504752645,0,5
3391,1,3,1977,1.4555028842910107,1,3
2656,3,1,1982,3.1983240580696464,1,7
3039,4,3,1995,2.9435964389004385,0,3
702,5,3,1971,0.5257336161235517,1,5
2055,1,3,2011,1.8635787814191351,0,3
1418,2,3,1996,3.287045543616101,0,8
4500,4,1,1996,1.8227709545760389,0,1
1645,1,1,2002,2.1269362943931736,2,9
1884,4,1,1957,2.1054592023047265,2,7
1304,2,3,1960,2.4492340009182487,1,9
2832,4,1,2001,3.1653561697794306,1,6
3349,4,3,1958,4.504476769130689,0,5
3949,1,1,2008,4.0314635682124464,0,5
1260,4,2,1965,1.9296261389622296,2,9
2549,5,3,2015,4.374703847764904,2,3
1648,3,1,1960,2.2806858360820668,2,2
2302,5,2,1957,2.2060744626904114,2,3
1808,1,3,1968,3.967012494832954,1,5
1213,1,3,2017,1.8702163973702788,1,2
4615,4,2,2000,1.7211468359255475,1,4
1528,4,1,1960,2.367370469300352,0,9
1489,4,2,2009,0.7961529231075941,0,10
3885,2,3,1983,3.251014709974911,1,9
3324,5,1,2018,2.018896096477185,2,7
3097,5,1,1959,4.503094782487215,2,5
3229,1,1,1960,3.365427726699472,0,7
4483,3,1,1971,1.723039322360581,1,1
1748,4,1,2002,0.947959307639488,2,7
3936,3,1,2002,0.7993742369488486,0,8
2406,2,1,2016,1.3600943980200355,1,9
3419,3,2,1962,4.407848545736219,2,5
2660,5,3,1987,4.157211289518779,1,5
4995,3,2,2007,3.6800399015496494,0,2
1752,3,2,2009,2.8053515609918627,1,6
992,3,2,1966,3.114567920187993,2,5
534,3,1,2016,2.527153571617679,0,10
3201,1,1,1978,3.277484626450553,0,5
3447,5,3,2021,4.264243207781151,2,3
2000,2,2,2004,2.1410180430545145,1,8
4347,3,1,1966,4.231914053565918,1,3
862,2,1,2012,2.716695523498164,2,7
4136,2,3,2017,2.112505955022532,0,3
4933,3,1,2015,4.7693497781737,2,7
4768,2,1,1978,4.028927784643701,1,9
2224,4,3,2017,0.8646737470927555,0,5
4312,5,3,1969,1.690321117949772,2,2
3647,4,1,1993,4.695452412029949,2,5
1394,4,1,1983,4.352596245561846,0,5
4830,1,2,2010,2.550286203967632,2,4
3411,1,3,2014,0.8119774867449414,2,2
661,4,1,1964,2.1851617998560764,0,3
3412,3,2,1966,4.743778538331372,2,10
1863,4,2,1995,2.5840162122688017,2,4
4343,3,3,1955,3.23784021146008,1,1
2641,2,3,1998,4.564358504754931,0,7
2475,5,2,2011,4.235679423490632,0,3
4046,1,3,1978,3.2012665723761664,1,7
1669,5,1,1978,4.087449826604432,2,9
3854,2,1,1974,3.2734152150480336,1,8
4952,4,3,1995,4.725027320185737,2,9
3677,5,2,1987,4.332174436868986,0,6
2933,5,3,1973,4.781489129265565,2,9
637,1,2,1990,2.8924746069401737,2,8
3024,4,1,2001,4.480624818145345,1,9
1684,5,3,1988,3.994201861929581,1,8
2482,1,3,1959,1.8663077216472808,2,6
2972,2,1,2018,0.7357608301768754,1,2
2868,1,2,1986,0.9436231716008556,1,10
3974,4,3,2018,4.219934258572882,0,6
4323,4,1,2006,2.8322427940144084,0,7
3592,1,2,2016,3.634822720478255,0,9
2616,3,2,1992,1.068738900825502,0,4
3230,3,1,2011,2.960133477333529,2,7
2356,4,2,1999,2.537661713949125,1,10
4256,3,2,1964,1.0490333610960008,1,2
3781,2,1,1989,3.1640757925507828,0,9
1330,3,3,1962,2.6189031030042957,1,7
970,4,2,1981,2.3488569132822343,1,1
1512,3,2,2003,3.643387813441117,0,5
802,4,2,1990,3.6351280014653686,1,4
780,2,1,2008,2.590759259640369,2,1
2541,5,1,2005,1.4358036168022548,0,8
3126,2,1,2014,3.211114238165548,0,1
4002,3,1,2010,1.073162630515465,1,10
1275,2,2,1979,2.9551333220111653,0,10
3712,5,2,1961,0.8944242628759398,0,10
3636,3,2,2020,1.482169427121783,2,3
3428,1,1,2011,1.2350149164007576,1,8
3952,1,2,1988,4.984545453300421,1,9
3438,3,1,1980,3.3669261537099917,2,8
1395,4,2,1973,3.3056502373368337,0,2
2703,1,1,1987,4.155161544456538,1,8
4137,1,3,1976,4.428587273133722,2,3
1123,5,2,1950,2.6117835229660566,2,2
3766,3,2,1981,1.7856481732014404,2,1
3378,5,1,1988,1.7347307234116436,1,8
3372,5,1,1986,2.4906493989608847,0,4
1171,3,1,1958,0.6937358122205086,1,6
2849,1,1,1996,3.7591453737461,1,5
4991,2,1,1996,0.6867462523238574,2,1
3361,4,1,2022,1.6413599998131725,2,3
2085,5,1,1975,1.5419679618427198,2,10
1754,2,2,1998,0.9197215105017644,2,4
1887,2,1,2014,1.8825753283147424,0,2
1960,4,1,1977,4.255659286678725,1,6
742,1,2,2002,2.138507487547248,0,10
4646,1,2,2016,1.1281949031191003,0,9
2179,1,2,1977,1.757371478792324,0,1
4413,3,2,2002,4.750995794769929,1,9
1909,3,2,1958,4.658484721600757,2,4
4634,2,3,1955,1.0165861726307606,0,3
1293,1,1,1968,3.173638382404059,1,5
3728,2,1,1984,1.629860466493255,0,6
3856,2,3,2014,1.2438602876208258,2,5
3273,3,3,1950,4.336632297222542,0,10
555,2,1,1962,1.5525361916249156,0,2
2016,1,1,2021,2.6074858367021605,0,3
3316,3,1,1984,0.6135680563171889,2,4
3388,2,2,1987,2.679549918311789,0,1
3519,5,3,1966,4.009947471097449,0,10
4529,2,1,2019,4.924875455683103,2,6
4860,5,2,1977,3.872417026913639,0,6
4079,5,3,2007,1.476303106387458,1,10
4423,1,1,1965,3.865074573917176,0,5
3932,3,2,1970,4.94975989125124,2,5
3998,4,2,1976,4.768263244481877,0,8
4889,4,2,1991,4.825217370695743,2,8
1824,2,1,2017,2.0364137132193423,0,5
4014,1,1,2013,1.5574742489061122,0,10
1775,1,2,1955,4.241154677998865,2,1
1842,3,1,1977,1.2708273101975167,1,4
2131,3,1,1959,4.9483474159795104,1,6
3419,1,1,1972,2.805281407595683,1,1
4824,1,1,1961,0.7784856575621386,0,1
1217,3,3,1996,1.7726050880172488,1,9
999,2,3,1977,1.241981494543123,0,6
4514,4,3,2008,4.917683041345137,0,4
2431,1,3,2009,1.544250828655202,0,10
3002,5,2,2014,2.4400058229365227,0,4
1569,5,2,1969,1.0634925178257415,1,4
4631,3,1,2005,4.940280956753819,1,9
1198,3,2,2012,3.866021313671316,2,5
3742,2,1,1960,2.4973663478958548,2,5
2187,5,3,1974,2.1943862950518422,0,10
1888,5,1,1982,4.725483899386899,2,4
4425,4,3,1989,3.599431433651144,0,9
516,5,3,1959,3.57554199833379,1,1
3266,5,2,1983,3.7078069813742975,2,7
2343,1,3,1974,3.79851628832759,1,5
3286,5,3,1958,1.4697534149039797,2,9
2365,2,2,1987,2.588300102320271,0,10
2292,1,2,2000,3.1153794067443044,2,1
1702,2,3,1994,2.8023736213355632,0,8
2146,5,2,1998,2.2201351338985624,0,4
2187,5,2,1981,1.3511259501034307,2,2
1106,1,3,1979,1.0757161603030243,0,9
4195,2,1,1960,4.584809449298807,0,2
3505,2,3,1968,4.433768069706617,1,8
4643,1,3,2019,4.557123523791804,2,3
4350,2,1,1968,0.6350959946708234,1,5
4100,2,1,1956,1.9522695772698728,1,1
2027,5,3,2002,4.467270379450989,0,10
2982,1,1,2005,2.5871641237745595,2,9
2459,1,1,1964,3.1047807561601664,0,4
4955,1,1,1970,1.908725652784161,2,6
2103,1,3,1983,3.993307148821765,0,10
3889,4,1,1970,1.932368426115563,2,1
3620,4,1,1978,2.228191872759952,0,5
4082,3,3,1973,0.8610001090507133,2,6
4863,2,3,1983,4.7169902521385465,0,9
2548,3,3,2003,1.7588568549608197,2,6
1776,4,3,2006,4.228196602528584,2,4
2468,2,2,2014,0.9842638314193648,1,7
2119,2,1,2007,2.3347209679935137,0,4
835,5,3,2003,3.8825427741031366,2,2
2399,4,1,1978,1.4154641381124105,1,10
2168,2,1,1995,1.202161151029896,2,7
3370,5,3,2021,1.6154301142779064,1,2
2990,1,2,1986,3.9718042789931935,2,6
735,5,2,1973,3.416472655403555,0,9
1240,1,2,1951,3.5916761776211623,0,8
2401,2,1,1988,1.8838840797070533,1,6
2259,1,2,2017,2.321262787233464,0,6
4187,5,3,1997,2.619275264476315,2,6
1791,2,1,1984,2.430432193284007,0,5
3217,5,3,2012,4.368003786130716,2,7
3475,1,1,1983,2.983447113895336,2,7
2328,2,1,1968,4.417852466675708,1,9
2458,2,1,1962,3.9085900045282296,1,10
3572,4,3,1958,0.6911145916543993,1,3
2031,3,2,1993,4.730993625070783,2,10
3804,3,1,1996,3.33517945315992,2,6
2796,3,1,2000,2.752147921400232,1,2
3835,3,2,1958,4.011565382330714,2,9
4318,4,1,1976,1.203276692973993,2,8
3332,5,1,1990,3.1317738425999693,1,6
4777,3,3,1979,3.1936779833210185,2,7
2570,5,3,1962,4.522933422711324,2,10
3842,2,3,1991,4.681797810179267,1,8
2891,2,3,1982,3.9784402458751407,0,2
3056,2,3,2018,4.315675476935068,2,3
1767,5,3,2009,1.073238872001527,1,1
4136,5,3,1995,3.187815891590612,2,8
2070,3,3,2012,2.9374088819754194,2,7
566,1,3,2010,1.087255688527329,0,1
4491,4,2,1994,3.399155256428652,0,4
2562,1,3,1971,2.417319399317437,2,6
1103,5,1,1985,3.770774739717069,1,1
1376,5,2,1986,3.488907708823036,1,8
2173,5,3,1978,4.598612019364159,2,1
1453,4,3,1970,3.551512239293939,0,4
3677,1,1,2017,4.8301765097412055,1,9
3990,1,1,2020,2.051679234857764,0,8
4351,5,2,1971,3.630310935593261,2,1
4097,5,1,1951,2.753199166265021,2,4
2469,5,1,1987,4.438031200511212,2,9
3783,4,3,1963,4.626239216904121,2,10
2547,4,2,1986,3.715885737089259,2,8
3610,1,2,1979,3.434418778467428,1,6
3604,1,1,1995,1.2140549316035822,2,6
2538,4,3,1998,4.892147143700917,0,10
1074,4,2,1982,2.487859212369682,1,9
3825,3,3,1991,3.30229527031775,1,10
4915,5,2,1956,1.9939923240699435,1,3
2490,5,1,1950,4.16874348990752,1,10
2650,2,1,2006,3.62000819180618,0,7
4606,4,2,1990,0.6252975840983603,2,8
3090,1,2,1954,3.0479675708867746,2,7
2352,3,2,1991,3.569689227027357,2,1
2193,4,1,1996,4.731886432853361,0,6
1135,5,2,1990,3.943221479675449,1,5
3459,5,3,1959,3.09476303208373,2,7
2526,5,2,1978,2.679760335203821,2,6
2762,2,2,1976,4.5109319286213445,1,6
4452,1,1,1975,3.431820574980016,0,3
3369,2,3,1962,3.5842790455070257,1,9
2954,5,1,1970,1.6620395884977202,1,4
4844,3,1,1952,1.9384342488142812,2,5
1456,1,1,1983,2.541105499652754,0,6
664,2,2,1982,2.296250575299588,2,8
3008,4,2,2008,4.3855957865365855,2,4
3247,1,2,2005,4.467035547233406,1,10
3617,4,2,1974,4.744286703325782,2,6
4712,3,2,1985,2.573014234250701,0,2
1175,4,2,1978,4.677725775363384,0,7
3919,4,2,2012,1.7409083199857658,2,3
755,4,1,2017,2.4059656219635333,2,2
2560,4,2,2015,3.802574196508413,0,2
1582,5,2,1956,4.48528893908798,1,5
2029,1,3,1966,4.2069532810960535,1,8
2341,3,2,2000,1.2655193778917666,2,10
3965,1,2,1977,4.983792321555749,0,2
4743,4,2,2016,2.254548858309863,1,4
2486,4,1,1979,2.366668037250262,0,7
3876,2,2,1994,1.4805891871340606,0,9
3620,5,3,2011,4.892841387446377,1,8
3920,3,3,2002,3.2854620411436466,2,10
4567,2,2,1988,2.546925992612907,0,6
4646,2,2,1972,0.5141340772165495,2,8
2234,2,2,1985,3.37245007906322,2,10
2794,2,2,2019,4.866059049866946,2,4
1353,5,3,1996,1.9026042283176865,1,1
2575,2,2,1981,2.439427558643699,0,5
2133,5,3,1970,3.853307729163265,2,7
4969,2,3,2009,2.856139183496538,1,5
1984,5,1,1957,4.376811682521021,0,2
1565,3,3,1959,4.933285497908036,1,3
1566,3,3,1991,3.244737013682233,0,8
4561,2,1,1954,2.171686746467454,2,2
1010,2,2,1990,3.6955968825404177,0,4
1323,4,1,1986,4.384109919810825,1,6
1800,2,2,2004,3.375644715117144,2,10
1576,3,2,1978,0.9291722102287638,1,8
3174,1,1,1976,4.986091483652099,0,5
3573,3,3,1995,0.6927689980360097,1,2
3113,5,2,1999,3.7815563431113937,1,2
1159,1,2,1957,2.802360730527847,2,3
820,4,1,2018,1.0650451038676312,2,2
3011,4,3,1984,1.890301955306687,1,1
4297,3,2,1957,3.2651859988023406,2,2
4262,2,1,1978,3.401875502667409,0,9
3657,3,1,1961,2.9720419020624096,0,10
1268,5,3,1954,3.0768928390201307,2,8
4177,4,3,1952,2.017899293680524,1,5
2040,1,2,1952,0.90045371685356,2,1
2219,4,1,1965,0.7259649426070487,0,4
577,5,3,1971,2.0831225288465864,1,10
4272,3,3,2016,4.75301384940204,1,6
4880,2,2,1952,4.206228893591852,0,10
619,5,1,2020,2.852420637028414,2,5
1372,4,2,2015,2.5003771387257183,1,10
3311,5,2,1971,3.126222666536449,0,9
2136,4,3,2021,3.813029971378476,2,3
3308,3,1,1978,4.3384189789876615,0,9
3349,4,3,1986,2.0186614655370416,1,5
1779,5,3,2016,3.326537890596073,1,10
1495,3,2,1986,2.074752227883379,2,1
700,1,2,2000,2.258398185483367,1,7
4527,4,2,1951,1.000117162994056,0,7
4623,2,2,1955,4.357362456768149,1,7
912,4,1,2008,1.055303668425184,0,5
3450,1,2,2019,0.8441597997469088,0,8
1002,4,2,2000,3.7074995429757394,2,4
1351,3,2,1992,0.7408150831086948,0,10
4706,2,2,1998,3.606825748599824,1,7
